cultivar,program,region,date,year,gdd_cumulative,brix,ta,ph,brix_ta_ratio,berry_weight_g,berry_size_mm,n_samples,n_sites,provenance
Aravelle,NYWGF,Finger Lakes,2024-07-01,2024,938.0,3.8,24.23,2.99,0.16,0.29,9.6,1,1,Extension monitoring
Aravelle,NYWGF,Finger Lakes,2024-07-16,2024,1235.0,4.5,41.36,2.71,0.11,0.6,11.4,1,1,Extension monitoring
Aravelle,NYWGF,Finger Lakes,2024-07-31,2024,1488.0,8.9,33.0,2.81,0.27,0.78,12.3,5,1,Extension monitoring
Aravelle,NYWGF,Finger Lakes,2024-08-12,2024,1688.0,13.7,16.14,3.07,0.85,1.2,12.6,5,1,Extension monitoring
Aravelle,NYWGF,Finger Lakes,2024-08-28,2024,1925.0,18.6,12.49,2.99,1.49,1.38,12.4,5,1,Extension monitoring
Aravelle,NYWGF,Finger Lakes,2024-09-09,2024,2076.0,19.4,8.84,3.11,2.2,1.35,14.9,5,1,Extension monitoring
Aravelle,NYWGF,Finger Lakes,2025-07-06,2025,946.0,6.5,39.55,2.76,0.16,0.24,,1,1,Extension monitoring
Aravelle,NYWGF,Finger Lakes,2025-07-20,2025,1208.0,4.1,38.39,2.73,0.11,0.69,12.8,1,1,Extension monitoring
Aravelle,NYWGF,Finger Lakes,2025-07-30,2025,1387.0,4.7,42.88,2.9,0.11,0.81,13.5,5,1,Extension monitoring
Aravelle,NYWGF,Finger Lakes,2025-08-19,2025,1717.0,14.5,14.96,2.96,0.97,1.13,14.8,5,1,Extension monitoring
Aravelle,NYWGF,Finger Lakes,2025-09-04,2025,1916.0,19.2,8.45,3.02,2.29,1.41,15.7,5,1,Extension monitoring
Aravelle,NYWGF,Finger Lakes,2025-09-18,2025,2077.0,20.8,5.93,3.22,3.5,1.64,16.4,3,1,Extension monitoring
Aravelle,Veraison to Harvest,Finger Lakes,2025-08-29,2025,1844.0,17.2,12.84,3.02,1.34,,,2,1,Extension monitoring
Aravelle,Veraison to Harvest,Finger Lakes,2025-09-08,2025,1957.0,19.2,10.74,2.83,1.79,,,1,1,Extension monitoring
Aravelle,Veraison to Harvest,Finger Lakes,2025-09-15,2025,2038.0,20.0,9.19,2.98,2.18,,,1,1,Extension monitoring
Aravelle,Veraison to Harvest,Finger Lakes,2025-09-22,2025,2121.0,20.9,8.45,3.05,2.47,,,1,1,Extension monitoring
Aurore,NYWGF,Western NY,2024-07-01,2024,1021.0,3.5,23.12,2.8,0.15,0.7,11.4,1,1,Extension monitoring
Aurore,NYWGF,Western NY,2024-07-18,2024,1330.0,3.9,30.51,2.96,0.13,1.06,13.3,5,1,Extension monitoring
Aurore,NYWGF,Western NY,2024-07-30,2024,1534.0,8.8,29.63,2.88,0.3,1.52,14.7,5,1,Extension monitoring
Aurore,NYWGF,Western NY,2024-08-13,2024,1778.0,15.4,13.85,3.11,1.12,2.12,14.4,5,1,Extension monitoring
Aurore,NYWGF,Western NY,2024-08-26,2024,1971.0,20.9,8.94,3.39,2.36,2.1,14.6,5,1,Extension monitoring
Aurore,NYWGF,Western NY,2024-09-09,2024,2180.0,24.3,7.78,3.55,3.12,2.18,16.0,5,1,Extension monitoring
Aurore,NYWGF,Western NY,2025-07-07,2025,1011.0,3.9,28.5,2.91,0.14,,,5,1,Extension monitoring
Aurore,NYWGF,Western NY,2025-07-24,2025,1310.0,4.1,29.64,2.78,0.14,,,5,1,Extension monitoring
Aurore,NYWGF,Western NY,2025-08-07,2025,1552.0,8.0,26.42,2.9,0.3,,,5,1,Extension monitoring
Aurore,NYWGF,Western NY,2025-08-19,2025,1776.0,13.9,13.11,3.14,1.06,,,5,1,Extension monitoring
Aurore,NYWGF,Western NY,2025-09-08,2025,2024.0,16.5,10.78,3.2,1.53,1.33,14.0,5,1,Extension monitoring
Cabernet Franc,NYWGF,Finger Lakes,2024-07-01,2024,968.0,4.5,25.01,2.96,0.18,0.29,9.9,1,1,Extension monitoring
Cabernet Franc,NYWGF,Finger Lakes,2024-07-31,2024,1512.0,5.0,41.42,2.77,0.12,0.68,12.6,5,1,Extension monitoring
Cabernet Franc,NYWGF,Finger Lakes,2024-08-12,2024,1716.0,8.3,26.86,2.86,0.31,0.86,11.9,5,1,Extension monitoring
Cabernet Franc,NYWGF,Finger Lakes,2024-08-28,2024,1958.0,16.0,14.89,3.12,1.08,1.12,13.9,5,1,Extension monitoring
Cabernet Franc,NYWGF,Finger Lakes,2024-09-09,2024,2111.0,19.1,9.45,3.2,2.04,1.28,15.4,5,1,Extension monitoring
Cabernet Franc,NYWGF,Finger Lakes,2024-09-24,2024,2323.0,20.8,9.62,3.23,2.18,1.44,14.8,5,1,Extension monitoring
Cabernet Franc,NYWGF,Finger Lakes,2024-10-01,2024,2414.0,20.8,5.49,3.33,3.79,1.43,14.7,5,1,Extension monitoring
Cabernet Franc,NYWGF,Finger Lakes,2025-07-06,2025,980.0,7.8,41.92,2.92,0.19,0.17,,1,1,Extension monitoring
Cabernet Franc,NYWGF,Finger Lakes,2025-07-20,2025,1248.0,4.4,38.03,2.71,0.12,0.62,12.5,1,1,Extension monitoring
Cabernet Franc,NYWGF,Finger Lakes,2025-08-03,2025,1486.0,4.6,41.46,2.91,0.11,0.69,12.9,5,1,Extension monitoring
